"","0005.hk.div"
"1",1.612
"2",0.15
"3",0.285
"4",0.19
"5",0.29
"6",0.205
"7",0.325
"8",0.24
"9",0.12
"10",0.24
"11",0.13
"12",0.13
"13",0.13
"14",0.27
"15",0.14
"16",1.0858
"17",1.0851
"18",0.31
"19",0.15
"20",0.15
"21",0.15
"22",0.36
"23",0.17
"24",0.17
"25",0.17
"26",0.39
"27",0.18
"28",0.18
"29",0.18
"30",0.1
"31",0.08
"32",0.08
"33",0.08
"34",0.1
"35",0.08
"36",0.08
"37",0.088889
"38",0.133333
"39",0.1
"40",0.1
"41",0.1
"42",1.08649
"43",0.698355
"44",0.697743
"45",0.6975
"46",1.39729
"47",0.775485
"48",0.775453
"49",0.775237
"50",1.47303
"51",0.775155
"52",0.776532
"53",0.775524
"54",1.55003
"55",0.775277
"56",0.774972
"57",0.774977
"58",1.62875
"59",0.775746
"60",0.775761
"61",0.775559
"62",1.63103
"63",0.1
